[30/1/25, 4:03:55 p.m.] ~🦚: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[30/1/25, 4:03:55 p.m.] ~🦚: ‎‎‎You use a default timer for disappearing messages in new chats. ‎New messages will disappear from this chat ‎7 days after they're sent, except when kept. ‎Tap to update your own default timer.
[30/1/25, 4:03:55 p.m.] ~🦚:
[5/2/25, 3:41:38 p.m.] ~🦚: ‎‎~🦚 turned off disappearing messages. ‎Tap to change.
[5/2/25, 7:26:32 p.m.] ~🦚: Me avisas cuando llegues
[5/2/25, 10:34:08 p.m.] ~🦚: Bueno, si no quieres no
‎[5/2/25, 10:34:24 p.m.] ~🦚: ‎<attached: 00000204-STICKER-2025-02-05-22-34-24.webp>
[5/2/25, 11:14:13 p.m.] e: jajaja llegue directo a la reu
[5/2/25, 11:14:18 p.m.] e: sali hace poco
[5/2/25, 11:14:31 p.m.] ~🦚: Menso
[5/2/25, 11:14:35 p.m.] ~🦚: Me tenías preocupada
[5/2/25, 11:14:41 p.m.] ~🦚: Pensé que te había sucedido algo
[5/2/25, 11:14:49 p.m.] ~🦚: Pero que bueno que llegaste
[5/2/25, 11:14:57 p.m.] e: si todo tranqui
[5/2/25, 11:15:08 p.m.] e: chilo con los panitas de ls iglesia
[5/2/25, 11:15:41 p.m.] ~🦚: Me caíste muy bien 
Cualquier cosa aquí estoy para lo que ocupes y más si necesitas hablar, desahogarte o sentirte escuchado y no ignorado
[5/2/25, 11:16:10 p.m.] ~🦚: Aunque aveces seamos personas ausentes sabemos al final de cuentas que ahí estaremos
‎[5/2/25, 11:16:13 p.m.] ~🦚: ‎<attached: 00000215-STICKER-2025-02-05-23-16-13.webp>
[5/2/25, 11:16:19 p.m.] ~🦚: Que aprendiste?
[5/2/25, 11:17:04 p.m.] e: me encanto pasar el rato contigo lml
‎[5/2/25, 11:20:33 p.m.] ~🦚: ‎<attached: 00000218-STICKER-2025-02-05-23-20-33.webp>
[5/2/25, 11:20:38 p.m.] ~🦚: Me alegro
[5/2/25, 11:21:03 p.m.] ~🦚: Por ahora estos días estaré en Meoqui
[5/2/25, 11:21:12 p.m.] ~🦚: Pero igual no quiero que te regañen
[5/2/25, 11:22:54 p.m.] e: El detalle es que esta vez no me prestaron el carro, lo agarre ni avise jajaja. Pero como sea, si se arma cualquier otro plan yo jalo
[5/2/25, 11:23:28 p.m.] e: si quieres podemos hacer ejercicio mañana
[5/2/25, 11:24:08 p.m.] e: Dios es love ‎<This message was edited>
[5/2/25, 11:24:29 p.m.] ~🦚: Jaja tú me vas a poner las rutinas?
[5/2/25, 11:24:40 p.m.] ~🦚: Aún tenemos el cuadrito que no empezamos
[5/2/25, 11:24:50 p.m.] e: sii
[5/2/25, 11:24:50 p.m.] ~🦚: Chavalo mal creado
[5/2/25, 11:24:53 p.m.] e: ya temgo tapetes
[5/2/25, 11:25:07 p.m.] e: me quede con las ganas
[5/2/25, 11:25:07 p.m.] ~🦚: Jaja y donde quieres hacer ejercicio?
[5/2/25, 11:25:24 p.m.] e: en donde seaa jajaja hasta en el bado ahi
[5/2/25, 11:25:30 p.m.] e: sin mucha gente espero
[5/2/25, 11:25:40 p.m.] e: jajaja
[5/2/25, 11:25:41 p.m.] ~🦚: Jaja por qué?
[5/2/25, 11:25:53 p.m.] ~🦚: Ni ropa deportiva tengo
[5/2/25, 11:26:01 p.m.] ~🦚: A ver qué le robó a mi hermano
[5/2/25, 11:26:02 p.m.] ~🦚: Jajaj
[5/2/25, 11:32:03 p.m.] e: jajajaja o en algun parquecito
[5/2/25, 11:34:41 p.m.] ~🦚: Jajaj
[5/2/25, 11:34:44 p.m.] ~🦚: Bueno
[5/2/25, 11:34:49 p.m.] ~🦚: Pero falto el postre
‎[5/2/25, 11:34:52 p.m.] ~🦚: ‎<attached: 00000243-STICKER-2025-02-05-23-34-52.webp>
[5/2/25, 11:40:25 p.m.] e: luego del ejercicioo jajaja
[5/2/25, 11:40:35 p.m.] e: me desocupo tipo 5:30
[5/2/25, 11:42:52 p.m.] ~🦚: Esta bien
[5/2/25, 11:43:03 p.m.] ~🦚: Voy a intentar ejercitarme
‎[5/2/25, 11:43:07 p.m.] ~🦚: ‎<attached: 00000248-STICKER-2025-02-05-23-43-07.webp>
[5/2/25, 11:47:06 p.m.] e: siii obvio no hay fallo terminado vamos por el postre
‎[5/2/25, 11:48:31 p.m.] ~🦚: ‎video omitted
[5/2/25, 11:48:46 p.m.] ~🦚: Si ya se te puso
[5/2/25, 11:49:12 p.m.] e: jajajaka
[5/2/25, 11:49:30 p.m.] e: cuando tengas un cuerpower
[5/2/25, 11:49:39 p.m.] e: ya me diras
[5/2/25, 11:49:40 p.m.] ~🦚: Ora
[5/2/25, 11:49:45 p.m.] ~🦚: Pues si ese ya lo tengo
[5/2/25, 11:49:49 p.m.] ~🦚: 😘
[6/2/25, 12:09:35 a.m.] e: sin duda pero entrenar juntos es buen plan para motivarnos
[6/2/25, 12:15:06 a.m.] ~🦚: Va va
[6/2/25, 12:15:19 a.m.] ~🦚: Ya duérmete, tu eres Niño bien
[6/2/25, 12:15:30 a.m.] ~🦚: Y no debes desvelarte tanto, mañana trabajas
[6/2/25, 3:20:56 p.m.] e: jajajaja olaa cuando quieras sonsacarme seria muy feliz
[6/2/25, 3:37:10 p.m.] ~🦚: Jaja no, yo no quiero será la mala influencia
