[5/1/25, 4:07:09 p.m.] Rafa M: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[5/1/25, 4:07:09 p.m.] edu: www.oldbooksbonn.com
‎[9/1/25, 8:13:17 p.m.] Rafa M: ‎<attached: 00000003-PHOTO-2025-01-09-20-13-17.jpg>
[9/1/25, 8:13:28 p.m.] Rafa M: Eduuu
[9/1/25, 8:16:14 p.m.] edu: si no se que onda, la base de datos solo dura un dia por alguna razon
[9/1/25, 8:16:24 p.m.] edu: osea que a diario tengo que estar haciendo deployment
[9/1/25, 8:16:40 p.m.] edu: que no esta mal mira en 3 min vuelve a estar en pie
[9/1/25, 8:16:58 p.m.] edu: pero son 3 minutos que la pagina no esta disponible
[9/1/25, 8:18:58 p.m.] edu: ya esta arriba otra vez
[9/1/25, 8:20:09 p.m.] Rafa M: Ya
[9/1/25, 8:20:23 p.m.] edu: y ya puedes buscar libros
‎[9/1/25, 8:20:34 p.m.] Rafa M: ‎<attached: 00000012-VIDEO-2025-01-09-20-20-34.mp4>
[9/1/25, 8:20:44 p.m.] edu: la animacion no esta tan cool pero ayla llevoo
[9/1/25, 8:21:09 p.m.] edu: woo se ve bn bonita
[9/1/25, 8:21:13 p.m.] Rafa M: Ponte una fecha limite edu
[9/1/25, 8:21:15 p.m.] edu: jajaja
[9/1/25, 8:21:24 p.m.] Rafa M: Pa dejarla al putazo
[9/1/25, 8:21:36 p.m.] edu: sabes que es lo mascool
[9/1/25, 8:21:48 p.m.] edu: quecusndo mandas el link te sale un libro diferente en el preview
[9/1/25, 8:21:54 p.m.] edu: oldbooksbonn.com
[9/1/25, 8:21:59 p.m.] Rafa M: Si si vi
[9/1/25, 8:22:05 p.m.] edu: oldbooksbonn.com
[9/1/25, 8:22:05 p.m.] Rafa M: Esta cool eso
[9/1/25, 8:22:16 p.m.] edu: oldbooksbonn.com
[9/1/25, 8:22:29 p.m.] Rafa M: Cool jaja
[9/1/25, 8:22:31 p.m.] edu: jakajajajaa
[9/1/25, 8:22:46 p.m.] edu: ya casila acabo bro
[9/1/25, 8:22:47 p.m.] Rafa M: Si yo la compro ahorita un libro hay sistema de pago y de envio?
[9/1/25, 8:22:53 p.m.] edu: noo
‎[9/1/25, 8:23:28 p.m.] edu: ‎<attached: 00000030-AUDIO-2025-01-09-20-23-28.opus>
[9/1/25, 8:24:22 p.m.] Rafa M: Y ahora que no esta la pagina del opa como le hace?
[9/1/25, 8:24:29 p.m.] Rafa M: La que tenia antes era funcional?
[9/1/25, 8:24:37 p.m.] Rafa M: Le llegaban ventas?
‎[9/1/25, 8:30:51 p.m.] Rafa M: ‎<attached: 00000034-STICKER-2025-01-09-20-30-51.webp>
‎[9/1/25, 8:32:59 p.m.] Rafa M: ‎<attached: 00000035-STICKER-2025-01-09-20-32-59.webp>
[9/1/25, 8:34:21 p.m.] Rafa M: Contestameeee
[9/1/25, 8:34:56 p.m.] edu: quien sabe
[9/1/25, 8:35:37 p.m.] Rafa M: Y no le preguntaste eso al opa antes de moverle?
[9/1/25, 8:36:06 p.m.] edu: mañana le pregunto para que ya me compres un libro
[9/1/25, 8:37:03 p.m.] Rafa M: Como te comprare un libro si la lana le cai al opa? y en tu pagina aun falta pal sistema de pago?
[9/1/25, 8:37:22 p.m.] Rafa M: Oye ahora que me pongo a pensarlo entonces porque empezaste a hacer una pagina pal opa?
‎[9/1/25, 8:42:38 p.m.] Rafa M: ‎<attached: 00000042-STICKER-2025-01-09-20-42-38.webp>
[9/1/25, 8:43:08 p.m.] edu: la cuenta a la que se paguen las cosas en linea es la mia
[9/1/25, 8:43:11 p.m.] edu: porque me lo pidio
[9/1/25, 8:43:37 p.m.] Rafa M: A caray y eso porque?
[9/1/25, 8:43:53 p.m.] Rafa M: Como fue? Me puedes platicar?
[9/1/25, 8:45:19 p.m.] edu: dijo que a nadie le interesaba y que cuando el ya no estuviera nadie se iba a ser responsable y yo le dije que me enseñara y ya me pidio que le hiciera una pagina
[9/1/25, 8:45:32 p.m.] edu: le dije que en un mes hace como 3 años jajajaja
[9/1/25, 8:45:37 p.m.] edu: por fin
[9/1/25, 8:45:50 p.m.] edu: me tomo mas de lo que oensaba pero no exisita chatgpt
[9/1/25, 8:46:00 p.m.] edu: por la cuenta de apple pay
[9/1/25, 8:46:03 p.m.] edu: luego se lo dare, claro
[9/1/25, 8:46:18 p.m.] edu: si ganara 400eal mes en libros me doy por servido
[9/1/25, 8:49:22 p.m.] Rafa M: O sea de su familia nadie quiere la libreria?
[9/1/25, 8:49:33 p.m.] edu: ajam
[9/1/25, 8:49:41 p.m.] Rafa M: Animo jaja
[9/1/25, 8:50:14 p.m.] Rafa M: Tu? O la libreria?
[9/1/25, 8:51:19 p.m.] Rafa M: O como funcionaria?
[9/1/25, 8:51:29 p.m.] Rafa M: Hay plan hoy?
[10/1/25, 12:19:42 a.m.] Rafa M: Ya expiro la pag edu
[10/1/25, 12:20:03 a.m.] edu: fomo asi
[10/1/25, 12:21:46 a.m.] edu: como*
[10/1/25, 7:22:10 a.m.] Rafa M: Pues si volvi a meterme y sale el error
‎[12/1/25, 12:11:12 p.m.] Rafa M: ‎<attached: 00000064-PHOTO-2025-01-12-12-11-12.jpg>
‎[12/1/25, 12:11:12 p.m.] Rafa M: ‎<attached: 00000065-PHOTO-2025-01-12-12-11-12.jpg>
[12/1/25, 5:32:00 p.m.] edu: y’a me llegó la funda pero llego de otro cel
[12/1/25, 5:32:02 p.m.] edu: siempre pasa eso
[12/1/25, 6:12:07 p.m.] Rafa M: Chale
[12/1/25, 6:12:07 p.m.] Rafa M: A very
[12/1/25, 6:12:20 p.m.] Rafa M: Manda foto
‎[12/1/25, 6:12:34 p.m.] edu: ‎<attached: 00000071-PHOTO-2025-01-12-18-12-34.jpg>
[12/1/25, 6:12:46 p.m.] Rafa M: Que cool
[12/1/25, 6:12:49 p.m.] Rafa M: Con quien fuiste?
[12/1/25, 6:12:55 p.m.] Rafa M: Manda foto pero de la funda
[12/1/25, 6:13:12 p.m.] Rafa M: Igual hay que hacer el proceso de devolucion entonces
[13/1/25, 1:59:23 p.m.] Rafa M: Eduu
[13/1/25, 1:59:37 p.m.] Rafa M: Que ondaa necesitamos hacer el proceso de devolucion
[21/1/25, 7:44:51 p.m.] edu: ps pediste de otra
[21/1/25, 7:44:56 p.m.] edu: cuando este en la casa te lo mando
[21/1/25, 7:45:35 p.m.] Rafa M: Donde estas? Contestame en em grupo pa que sea una conversacion
[21/1/25, 7:45:46 p.m.] Rafa M: Y tener ahi el historial mas cool
[21/1/25, 7:45:55 p.m.] edu: me llega doble el mensjae pero deja el grupo si queires
[21/1/25, 7:46:00 p.m.] edu: jajaja
[21/1/25, 7:46:08 p.m.] edu: un grupo com todas nuestras conversaciones
[21/1/25, 7:46:14 p.m.] Rafa M: Exacto
[21/1/25, 7:46:34 p.m.] Rafa M: Donde estas? Pk no me lo puedes enviar de una?
[21/1/25, 7:46:41 p.m.] edu: cuu
[21/1/25, 7:46:42 p.m.] Rafa M: Te lk llevo pidiendo hace rato
[21/1/25, 7:46:47 p.m.] Rafa M: Que haces en chih?
[21/1/25, 7:46:53 p.m.] Rafa M: No fuiste a la chamba?
[21/1/25, 8:11:52 p.m.] edu: nopoo
[21/1/25, 8:12:19 p.m.] Rafa M: No fuiste tu primer dia de trabajo?!?
[21/1/25, 8:12:32 p.m.] edu: no empiezo a trabajar mañana empiezo en febrero
